Paper Title,Number_of_Hallmarks,Total_Score,Primary_Hallmark,Primary_Hallmark_Score,Is_Aging_Related
"<scp>SIRT6</scp> deficiency causes ovarian hypoplasia by affecting <i>Plod1</i>‐related collagen formation",1,1.597919,"epigenetic alterations",1.597919,Yes
"Sirt6 promotes DNA damage repair in osteoarthritis chondrocytes by activating the Keap1/Nrf2/HO-1 signaling pathway",3,3.249585,"genome instability",1.536800,Yes
"Catastrophic NAD+ Depletion in Activated T Lymphocytes through Nampt Inhibition Reduces Demyelination and Disability in EAE.",1,0.147358,"stem cell exhaustion",0.147358,Yes
"<i>Sirt6 mRNA</i>-incorporated endothelial microparticles (EMPs) attenuates DM patient-derived EMP-induced endothelial dysfunction",0,0.000000,"None",0.000000,No
"microRNA-802 is involved in palmitate-induced damage to pancreatic β cells through repression of sirtuin 6.",1,0.555615,"epigenetic alterations",0.555615,Yes
"Effects of sirtuins on the riboflavin production in Ashbya gossypii",1,0.652407,"epigenetic alterations",0.652407,Yes
"Isoflurane alleviates hypoxia/reoxygenation induced myocardial injury by reducing miR-744 mediated SIRT6",1,0.414695,"mitochondrial dysfunction",0.414695,Yes
"Fluvastatin suppresses the proliferation, invasion, and migration and promotes the apoptosis of endometrial cancer cells by upregulating Sirtuin 6 (SIRT6)",1,0.477406,"epigenetic alterations",0.477406,Yes
"The Effect of Antiretroviral Therapy on SIRT1, SIRT3 and SIRT6 Expression in HIV-Infected Patients",1,2.599501,"epigenetic alterations",2.599501,Yes
"Pentoxifylline-induced protein expression change in RAW 264.7 cells as determined by immunoprecipitation-based high performance liquid chromatography",1,0.425392,"loss of proteostasis",0.425392,Yes
"Potential Role of Lisinopril in Reducing Atherosclerotic Risk: Evidence of an Antioxidant Effect in Human Cardiomyocytes Cell Line",2,1.608579,"mitochondrial dysfunction",1.178142,Yes
"SIRT6 mediates multidimensional modulation to maintain organism homeostasis",1,1.800650,"epigenetic alterations",1.800650,Yes
"Glycogen accumulation in adipocyte precursors from elderly and obese subjects triggers inflammation via <scp>SIRT1</scp>/6 signaling",2,1.243858,"chronic inflammation",0.781348,Yes
"The mechanism of radiotherapy for lung adenocarcinoma in promoting protein SIRT6-mediated deacetylation of RBBP8 to enhance the sensitivity of targeted therapy",1,0.719095,"epigenetic alterations",0.719095,Yes
"Sirtuin 6 (SIRT6) Activity Assays",1,1.389634,"epigenetic alterations",1.389634,Yes
"Expression Levels of Warburg-Effect Related microRNAs Correlate with each Other and that of Histone Deacetylase Enzymes in Adult Hematological Malignancies with Emphasis on Acute Myeloid Leukemia",1,1.391133,"epigenetic alterations",1.391133,Yes
"Molecular and functional characterization of sirt4 and sirt6 in Megalobrama amblycephala under high glucose metabolism",1,0.723668,"epigenetic alterations",0.723668,Yes
"Arctiin regulates collagen type 1α chain 1 mRNA expression in human dermal fibroblasts via the miR-378b-SIRT6 axis",1,0.880832,"epigenetic alterations",0.880832,Yes
"SIRT6 reduces the symptoms of premature ovarian failure and alleviates oxidative stress and apoptosis in granulosa cells by degrading p66SHC via H3K9AC",2,1.889395,"epigenetic alterations",1.047082,Yes
"Treatment with Cerebrolysin Prolongs Lifespan in a Mouse Model of Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy",0,0.000000,"None",0.000000,No
"Role of transcriptional cofactors in cardiovascular diseases",0,0.000000,"None",0.000000,No
"Sirtuin 6 Deacetylates Apoptosis-Associated Speck-Like Protein (ASC) to Inhibit Endothelial Cell Pyroptosis in Atherosclerosis",2,0.742319,"epigenetic alterations",0.465387,Yes
"Ferroptosis-related gene MAPK3 is associated with the neurological outcome after cardiac arrest",0,0.000000,"None",0.000000,No
"Nicotine induces senescence in spermatogonia stem cells by disrupting homeostasis between circadian oscillation and rhythmic mitochondrial dynamics via the SIRT6/Bmal1 pathway",4,3.025345,"epigenetic alterations",1.218908,Yes
"SIRT6 prevent chronic cerebral hypoperfusion induced cognitive impairment by remodeling mitochondrial dynamics in a STAT5-PGAM5-Drp1 dependent manner",1,1.726357,"epigenetic alterations",1.726357,Yes
"LncRNA MALAT1 to Enhance Pyroptosis in Viral Myocarditis Through UPF1-Mediated SIRT6 mRNA Decay and Wnt-β-Catenin Signal Pathway",0,0.000000,"None",0.000000,No
"New Perspectives on Postmenopausal Osteoporosis: Mechanisms and Potential Therapeutic Strategies of Sirtuins and Oxidative Stress",2,1.432224,"epigenetic alterations",0.735823,Yes
"SIRT6-Autophagy-Warburg effect axis in papillary thyroid cancer",2,0.764901,"disabled macroautophagy",0.764901,Yes
"Multidrug resistance transporter-1 dysfunction perturbs meiosis and Ca2+ homeostasis in oocytes",1,0.564994,"mitochondrial dysfunction",0.564994,Yes
"<i>Akt2</i> deficiency alleviates oxidative stress in the heart and liver via up-regulating SIRT6 during high-fat diet-induced obesity",1,0.794220,"mitochondrial dysfunction",0.794220,Yes
"Activation of SIRT6 Deacetylation by DNA Strand Breaks",2,4.376388,"epigenetic alterations",3.195700,Yes
"Treatment of Sulfur Mustard Corneal Injury by Augmenting the DNA Damage Response (DDR): A Novel Approach",1,1.761420,"genome instability",1.761420,Yes
"SIRT6 in Regulation of Mitochondrial Damage and Associated Cardiac Dysfunctions: A Possible Therapeutic Target for CVDs",1,1.379495,"epigenetic alterations",1.379495,Yes
"Cellular environment controls the dynamics of histone H3 lysine 56 acetylation in response to DNA damage in mammalian cells",2,4.264152,"epigenetic alterations",3.098370,Yes
"MiR-33a inhibits the adipogenic differentiation of ovine adipose–derived stromal vascular fraction cells by targeting SIRT6",1,0.609661,"epigenetic alterations",0.609661,Yes
"The Role and Mechanism of SIRT6 in Regulating Phenotype Transformation of Vascular Smooth Muscle Cells in Abdominal Aortic Aneurysm",1,1.517328,"epigenetic alterations",1.517328,Yes
"SIRT6 Promotes the Progression of Prostate Cancer via Regulating the Wnt/β-Catenin Signaling Pathway",1,1.323996,"epigenetic alterations",1.323996,Yes
"Garcinia Biflavonoid 1 Improves Lipid Metabolism in HepG2 Cells via Regulating PPARα",1,0.695980,"mitochondrial dysfunction",0.695980,Yes
"Vitexin ameliorates glycochenodeoxycholate-induced hepatocyte injury through SIRT6 and JAK2/STAT3 pathways.",0,0.000000,"None",0.000000,No
"The emerging double-edged sword role of Sirtuins in the gastric inflammation-carcinoma sequence revealed by bulk and single-cell transcriptomes",2,2.010829,"epigenetic alterations",1.484841,Yes
"Metformin alleviates HFD-induced oxidative stress in hepatocyte via activating SIRT6/PGC-1α/ENDOG signaling",1,0.790059,"mitochondrial dysfunction",0.790059,Yes
"Serum circulating sirtuin 6 as a novel predictor of mortality after acute ischemic stroke",1,0.795526,"epigenetic alterations",0.795526,Yes
"Sirtuin 6 Regulates the Activation of the ATP/Purinergic Axis in Endothelial Cells",1,0.714382,"epigenetic alterations",0.714382,Yes
"Senescence-responsive miR-33-5p promotes chondrocyte senescence and osteoarthritis progression by targeting SIRT6",1,0.948951,"cellular senescence",0.948951,Yes
"Sirtuins Function as the Modulators in Aging-related Diseases in Common or Respectively",0,0.000000,"None",0.000000,No
"Nutrition and Catch‐up Growth",0,0.000000,"None",0.000000,No
"SIRT6 Is a Positive Regulator of Aldose Reductase Expression in U937 and HeLa cells under Osmotic Stress: In Vitro and In Silico Insights",0,0.000000,"None",0.000000,No
"HPLC-Based Enzyme Assays for Sirtuins",1,1.777101,"epigenetic alterations",1.777101,Yes
"PHASE STUDY OF URANIUM--PLUTONIUM--ZIRCONIUM ALLOYS.",0,0.000000,"None",0.000000,No
"A one-step specific assay for continuous detection of sirtuin 2 activity",1,2.642448,"epigenetic alterations",2.642448,Yes
"Omega-3 fatty acids and vitamin E supplementation can affect gene expressions of SIRT1, FOXO1 and UCP-2 in coronary artery disease patients",0,0.000000,"None",0.000000,No
"Predictive Role of Biopsy Based Biomarkers for Radiotherapy Treatment in Rectal Cancer",0,0.000000,"None",0.000000,No
"SIRT6 inhibits metastasis by suppressing SNAIL expression in nasopharyngeal carcinoma cells.",1,1.044482,"epigenetic alterations",1.044482,Yes
"Gene-Diet Interaction between SIRT6 and Soybean Intake for Different Levels of Pulse Wave Velocity",1,0.610941,"epigenetic alterations",0.610941,Yes
"SIRT6 Reduces Rheumatoid Arthritis Injury by Inhibiting MyD88-ERK Signaling Pathway",1,0.467795,"chronic inflammation",0.467795,Yes
"SIRT6-mediated Runx2 downregulation inhibits osteogenic differentiation of human aortic valve interstitial cells in calcific aortic valve disease",1,0.706205,"epigenetic alterations",0.706205,Yes
"On the interface of aging, cancer, and neurodegeneration with SIRT6 and L1 retrotransposon protein interaction network",2,1.058339,"genome instability",0.642258,Yes
"Sirt6 Mono‐ADP‐Ribosylates YY1 to Promote Dystrophin Expression for Neuromuscular Transmission",0,0.000000,"None",0.000000,No
"hnRNPA2B1 deacetylation by SIRT6 restrains local transcription and safeguards genome stability",1,1.700119,"epigenetic alterations",1.700119,Yes
"NAD+ modulation of intestinal macrophages renders anti-inflammatory functionality and ameliorates gut inflammation",1,0.734964,"chronic inflammation",0.734964,Yes
"SIRT6 mitigates doxorubicin-induced cardiomyopathy via amelioration of mitochondrial dysfunction: A mechanistic study implicating the activation of the Nrf-2/FUNDC1 signaling axis",0,0.000000,"None",0.000000,No
"Structural and enzymatic plasticity of SIRT6 deacylase activity",0,0.000000,"None",0.000000,No
"Discovery of 5-Benzylidene-2-phenyl-1,3-dioxane-4,6-diones as Highly Potent and Selective SIRT1 Inhibitors",1,2.307302,"epigenetic alterations",2.307302,Yes
"SIRT6 promotes autophagy through direct interaction with ULK1 and competitive binding to PUMA",2,0.845249,"disabled macroautophagy",0.845249,Yes
"SIRT6: therapeutic target for nonalcoholic fatty liver disease",1,1.058572,"epigenetic alterations",1.058572,Yes
"Saturated fatty acid promotes calcification via suppressing SIRT6 expression in vascular smooth muscle cells",0,0.000000,"None",0.000000,No
"Anoxia Rapidly Induces Changes in Expression of a Large and Diverse Set of Genes in Endothelial Cells",2,1.303602,"stem cell exhaustion",1.165736,Yes
"Sirtuin 6 ameliorates bleomycin‐induced pulmonary fibrosis via activation of lipid catabolism",2,1.446470,"epigenetic alterations",1.316023,Yes
"Sirtuin 6 is a negative regulator of the anti-tumor function of natural killer cells in murine inflammatory colorectal cancer",0,0.000000,"None",0.000000,No
"Pachymic acid modulates sirtuin 6 activity to alleviate lipid metabolism disorders",2,1.054607,"epigenetic alterations",0.598283,Yes
"Myeloid-Specific SIRT6 Deletion Protects Against Particulate Matter (PM2.5)-Induced Airway Inflammation",1,0.683287,"chronic inflammation",0.683287,Yes
"Peroxinredoxin 6 reduction accelerates cigarette smoke extract‑induced senescence by regulating autophagy in BEAS‑2B cells",3,2.182497,"disabled macroautophagy",0.933063,Yes
"Sirtuin6 and Lipoxin A4 levels are decreased in severe periodontitis",1,0.674925,"chronic inflammation",0.674925,Yes
"Ameliorative inhibition of sirtuin 6 by imidazole derivative triggers oxidative stress-mediated apoptosis associated with Nrf2/Keap1 signaling in non-small cell lung cancer cell lines",2,1.681876,"epigenetic alterations",0.853861,Yes
"Oleuropein attenuates the nephrotoxic effect of sunitinib in rats: Unraveling the potential role of SIRT6/Notch-1/NLRP-3/IL-1β axis",1,0.279257,"chronic inflammation",0.279257,Yes
"Effect of SIRT6 knockdown on NF-κB induction and on residual DNA damage in cultured human skin fibroblasts.",2,4.132965,"epigenetic alterations",2.644731,Yes
"Age-dependent assessment of genes involved in cellular senescence, telomere and mitochondrial pathways in human lung tissue of smokers, COPD and IPF: Associations with SARS-CoV-2 COVID-19 ACE2-TMPRSS2-Furin-DPP4 axis",2,1.326249,"telomere attrition",0.705822,Yes
"High‐Throughput Screening Identifies Ascorbyl Palmitate as a SIRT2 Deacetylase and Defatty‐Acylase Inhibitor",1,1.725210,"epigenetic alterations",1.725210,Yes
"Dichotomous Responses to Chronic Fetal Hypoxia Lead to a Predetermined Aging Phenotype",3,1.690473,"genome instability",0.624448,Yes
"Determination of the relationship between class IV sirtuin genes and growth traits in Chinese black Tibetan sheep",1,0.636927,"epigenetic alterations",0.636927,Yes
"Sirtuin 6 Is a Critical Epigenetic Regulator of Cancer",2,3.862041,"epigenetic alterations",3.765103,Yes
"Endurance exercise under short‐duration intermittent hypoxia promotes endurance performance via improving muscle metabolic properties in mice",0,0.000000,"None",0.000000,No
"Molecular integrative study on interaction domains of nuclear factor erythroid 2-related factor 2 with sirtuin 6",2,1.530057,"epigenetic alterations",0.992340,Yes
"Antioxidant, Pro-Survival and Pro-Regenerative Effects of Conditioned Medium from Wharton’s Jelly Mesenchymal Stem Cells on Developing Zebrafish Embryos",1,0.575308,"stem cell exhaustion",0.575308,Yes
"The Prognostic and Therapeutic Role of Histone Acetylation Modification in LIHC Development and Progression",1,1.857692,"epigenetic alterations",1.857692,Yes
"SIRT6: a new guardian of mitosis",0,0.000000,"None",0.000000,No
"Reciprocal interaction between SIRT6 and APC/C regulates genomic stability",3,2.149020,"genome instability",0.884971,Yes
"N-Acetyl Cysteine Restores Sirtuin-6 and Decreases HMGB1 Release Following Lipopolysaccharide-Sensitized Hypoxic-Ischemic Brain Injury in Neonatal Mice",3,1.740338,"epigenetic alterations",0.702157,Yes
"Sirtuin 6 promotes cell aging of myeloma cell line KM-HM_(31) by via Hippo signal pathway.",2,1.346152,"epigenetic alterations",0.820799,Yes
"The molecular mechanisms associated with PIN7, a protein-protein interaction network of seven pleiotropic proteins",1,1.007482,"epigenetic alterations",1.007482,Yes
"Inhibition of Sirt6 suppresses tumor growth by inducing G1/S phase arrest in renal cancer cells.",1,1.441744,"epigenetic alterations",1.441744,Yes
"Isoflurane ameliorates oxygen-glucose deprivation-induced cardiomyocyte injury through SIRT6/DNMT1 pathway",0,0.000000,"None",0.000000,No
"Protocol to purify the histone deacetylase SIRT6 and assess its activity in vitro",2,2.682659,"epigenetic alterations",2.558722,Yes
"ELK4 exerts opposite roles in cytokine/chemokine production and degranulation in activated mast cells",3,0.808177,"intercellular communication",0.444931,Yes
"Deciphering the Allosteric Activation Mechanism of SIRT6 Using Molecular Dynamics Simulations",2,1.132133,"epigenetic alterations",1.002277,Yes
"PKCδ Regulates Chromatin Remodeling and DNA Repair through SIRT6",2,3.503456,"genome instability",2.093149,Yes
"Ability of NAD and Sirt1 to epigenetically suppress albuminuria",1,0.557124,"epigenetic alterations",0.557124,Yes
"Effect of quercetin on the protein-substrate interactions in SIRT6: Insight from MD simulations",1,0.630550,"epigenetic alterations",0.630550,Yes
"SIRT6 Inhibits Anoikis of Colorectal Cancer Cells by Down-Regulating NDRG1",0,0.000000,"None",0.000000,No
"SIRT6 positively regulates antiviral response in a bony fish, the Chinese perch Siniperca chuatsi",1,1.286104,"epigenetic alterations",1.286104,Yes
"Resveratrol suppresses hepatic fatty acid synthesis and increases fatty acid β-oxidation via the microRNA-33/SIRT6 signaling pathway",0,0.000000,"None",0.000000,No
"Adolescent co-exposure to environmental cadmium and high-fat diet induces cognitive decline via Larp7 m6A-mediated SIRT6 inhibition",2,1.270016,"epigenetic alterations",0.755704,Yes
"Sirtuin insights: bridging the gap between cellular processes and therapeutic applications",1,0.596417,"epigenetic alterations",0.596417,Yes
"Sirtuin 6 inhibits group 3 innate lymphoid cell function and gut immunity by suppressing IL-22 production",0,0.000000,"None",0.000000,No
"Phospholipid Phosphatase 3 (PLPP3) Induces Oxidative Stress to Accelerate Ovarian Aging in Pigs",3,2.085821,"disabled macroautophagy",0.835030,Yes
"In vitro maturation using porcine follicular fluid-derived exosomes as an alternative to the conventional method",0,0.000000,"None",0.000000,No
"Inhibition of Sirtuin Deacylase Activity by Peroxynitrite",1,0.656456,"epigenetic alterations",0.656456,Yes
"Impaired SUMOylation of FoxA1 promotes nonalcoholic fatty liver disease through down-regulation of Sirt6",2,0.986150,"epigenetic alterations",0.859470,Yes
"Phase 1, Single‐Center, Double‐Blind, Randomized, Placebo‐Controlled Studies of the Safety, Tolerability, and Pharmacokinetics of Single and Multiple Ascending Oral Doses of the Sirtuin 6 Activator SP‐624 in Healthy Adults",0,0.000000,"None",0.000000,No
"Caloric restriction mimetics: Pinostilbene versus resveratrol regarding SIRT1 and SIRT6 interaction",1,0.768893,"epigenetic alterations",0.768893,Yes
"SGK1-Mediated Vascular Smooth Muscle Cell Phenotypic Transformation Promotes Thoracic Aortic Dissection Progression",0,0.000000,"None",0.000000,No
"Sirtuins as Key Regulators in Pancreatic Cancer: Insights into Signaling Mechanisms and Therapeutic Implications",0,0.000000,"None",0.000000,No
"Transcriptomic analysis and epigenetic regulators in human oocytes at different stages of oocyte meiotic maturation",1,0.699839,"epigenetic alterations",0.699839,Yes
"Qige Decoction attenuated non-alcoholic fatty liver disease through regulating SIRT6-PPARα-mediated fatty acid oxidation",0,0.000000,"None",0.000000,No
"A new mechanism involved in cardiovascular senescence induced by environmentally relevant dose of 16 priority-controlled PAHs",1,0.732800,"cellular senescence",0.732800,Yes
"Silencing FAF2 mitigates alcohol-induced hepatic steatosis by modulating lipolysis and PCSK9 pathway",1,0.365834,"loss of proteostasis",0.365834,Yes
"Scutellariae Radix and Coptidis Rhizoma improve NAFLD via regulation of SIRT6/ACSL5 pathway and SCD1",0,0.000000,"None",0.000000,No
"Emodin-induced ERα degradation via SYVN1 alleviates vascular calcification by preventing HIF-1α deacetylation in chronic kidney disease",1,0.652301,"epigenetic alterations",0.652301,Yes
"Prognostic role of SIRT6 in gastrointestinal cancers: a meta-analysis",1,1.382377,"epigenetic alterations",1.382377,Yes
"RETRACTED ARTICLE: MicroRNA-572/hMOF/Sirt6 regulates the progression of ovarian cancer",1,1.133703,"epigenetic alterations",1.133703,Yes
"Epigenetic Mechanisms of Cardioprotection: Focus is on Activation of Sirtuins",3,3.476705,"epigenetic alterations",2.217180,Yes
"Identification and characterization of sirtuin enzymes in cestodes and evaluation of sirtuin inhibitors as new cestocidal molecules",1,2.712080,"epigenetic alterations",2.712080,Yes
"The prognostic implications of SIRTs expression in breast cancer: a systematic review and meta-analysis",0,0.000000,"None",0.000000,No
"Design, synthesis, and biological screening of a series of pyrazolo [1,5-a]quina-zoline derivatives as SIRT6 activators",0,0.000000,"None",0.000000,No
"Effects of follicle-stimulating hormone, insulin-like growth factor 1, fibroblast growth factor 2, and fibroblast growth factor 9 on sirtuins expression and histone deacetylase activity in bovine granulosa cells",0,0.000000,"None",0.000000,No
"Cuscuta chinensis flavonoids alleviate ovarian damage in offspring female mice induced by BPA exposure during pregnancy by regulating the central carbon metabolism pathway",0,0.000000,"None",0.000000,No
"Gene expression patterns of Sirtuin family members (SIRT1 TO SIRT7): Insights into pathogenesis and prognostic of Myelodysplastic neoplasm",1,3.631705,"epigenetic alterations",3.631705,Yes
"Mosaic forms of ataxia telangiectasia",2,2.460231,"genome instability",1.429586,Yes
"SIRT6 IS CORRELATED WITH ESTRADIOL IN WOMEN WITH IN VITRO FERTILIZATION FAILURE",1,1.066799,"epigenetic alterations",1.066799,Yes
"Sirtuin 6 protects human retinal pigment epithelium cells from LPS-induced inflammation and apoptosis partly by regulating autophagy",4,2.842007,"disabled macroautophagy",0.787367,Yes
"Association between &lt;b&gt;&lt;i&gt;SIRT6&lt;/i&gt;&lt;/b&gt; Methylation and Human Longevity in a Chinese Population",1,1.183079,"epigenetic alterations",1.183079,Yes
"Binding to nucleosome poises SIRT6 for histone H3 de-acetylation",2,1.088433,"epigenetic alterations",0.684727,Yes
"NICOTINAMIDE RIBOSIDE DELIVERY GENERATES NAD+ RESERVES TO PROTECT VASCULAR CELLS AGAINST OXIDATIVE DAMAGE",3,1.662058,"mitochondrial dysfunction",0.645804,Yes
"[Function of SIRT6 in tumor initiation and progression].",2,2.815940,"epigenetic alterations",2.564704,Yes
"Sirtuins and their role as physiological modulatorsof metabolism",2,2.434695,"epigenetic alterations",2.238509,Yes
"Puerarin as a Potential Drug Candidate for the Management of Type-2 Diabetes: Molecular Docking and Pharmacophore Modeling Studies",0,0.000000,"None",0.000000,No
"Abstract 27: Role of Sirtuin 6 in the Initiation and Progression of Calcific Aortic Valve Disease",1,1.697602,"epigenetic alterations",1.697602,Yes
"Differential Expression of mRNAs Coding for Histone Deacetylases (HDACs) in the Nucleus Accumbens of Compulsive Methamphetamine Takers and Abstinent Rats",1,0.593036,"epigenetic alterations",0.593036,Yes
"On the Mark: Comment",0,0.000000,"None",0.000000,No
"Effect of ionizing radiation at low dose on transgenerational carcinogenesis by epigenetic regulation",1,2.082845,"epigenetic alterations",2.082845,Yes
"Follistatin‐like 1 protects against doxorubicin‐induced cardiotoxicity by preventing mitochondrial dysfunction through the SIRT6/Nrf2 signaling pathway",1,0.835845,"disabled macroautophagy",0.835845,Yes
"Suppressing SENP1 inhibits esophageal squamous carcinoma cell growth via SIRT6 SUMOylation",0,0.000000,"None",0.000000,No
"Epigenetic and transcriptional control of adipocyte function by centenarian-associated SIRT6 N308K/A313S mutant",1,3.064781,"epigenetic alterations",3.064781,Yes
"Effects of Nicotinamide Adenine Dinucleotide on Older Patients with Heart Failure",0,0.000000,"None",0.000000,No
"SIRT6 alleviates senescence induced by Porphyromonas gingivalis in human gingival fibroblasts",1,0.700790,"cellular senescence",0.700790,Yes
"Oral administration of astilbin mitigates acetaminophen-induced acute liver injury in mice by modulating the gut microbiota",0,0.000000,"None",0.000000,No
"Decoding Cancer through Silencing the Mitochondrial Gatekeeper VDAC1",0,0.000000,"None",0.000000,No
"Targeting PPARα/γ by icariside II to rescue GalN/LPS-induced acute liver injury in mice: Involvement of SIRT6/NF-κB signaling pathway",1,0.501689,"chronic inflammation",0.501689,Yes
"Structure-Guided Discovery of Subtype Selective SIRT6 Inhibitors with a β-Carboline Skeleton for the Treatment of Breast Cancer",0,0.000000,"None",0.000000,No
"Energy Stress–Induced circEPB41(2) Promotes Lipogenesis in Hepatocellular Carcinoma",1,1.190696,"epigenetic alterations",1.190696,Yes
"Ribose-induced advanced glycation end products reduce the lifespan in Drosophila melanogaster by changing the redox state and down-regulating the Sirtuin genes",2,2.156596,"epigenetic alterations",1.215068,Yes
"The SIRT6 allosteric activator MDL-800 suppresses calcium oxalate nephrocalcinosis by alleviating inflammatory and renal damage",0,0.000000,"None",0.000000,No
"SIRT6 deficiency impairs the deacetylation and ubiquitination of UHRF1 to strengthen glycolysis and lactate secretion in bladder cancer",2,1.713119,"epigenetic alterations",1.526574,Yes
"YAP K236 acetylation facilitates its nucleic export and deprived the protection against cardiac hypertrophy in mice",1,0.646586,"epigenetic alterations",0.646586,Yes
"SIRT6 promotes angiogenesis by enhancing VEGFA secretion via demyristoylation in endothelial cell",0,0.000000,"None",0.000000,No
"SIRT6 Ameliorates Cancer Cachexia–Associated Adipose Wasting by Suppressing TNFR2 Signalling in Mice",1,1.697194,"epigenetic alterations",1.697194,Yes
"O-GlcNAc-modified HOXA9 suppresses ferroptosis via promoting UBR5-mediated SIRT6 degradation in nasopharyngeal carcinoma",0,0.000000,"None",0.000000,No
"SIRT3/6/7: promising therapeutic targets for pulmonary fibrosis",3,2.281809,"epigenetic alterations",1.353611,Yes
"Nicotinamide mononucleotide mitigates hyperoxia-aggravated septic lung injury via the GPx4-mediated anti-ferroptosis signaling pathway in alveolar epithelial cells",0,0.000000,"None",0.000000,No
"Friend or foe? The role of SIRT6 on macrophage polarized to M2 subtype in acute kidney injury to chronic kidney disease",0,0.000000,"None",0.000000,No
"Glucocorticoid-Mediated Skeletal Muscle Atrophy: Molecular Mechanisms and Potential Therapeutic Targets",1,0.447784,"epigenetic alterations",0.447784,Yes
"Crocodile blood supplementation protects vascular function in diabetic mice",0,0.000000,"None",0.000000,No
"Differential Histone Posttranslational Modifications Induced by DNA Hypomethylating Agents",1,2.445782,"epigenetic alterations",2.445782,Yes
"PAM-flexible dual base editor-mediated random mutagenesis and self-activation strategies to improve CRISPRa potency",1,0.106813,"genome instability",0.106813,Yes
"Overexpression of SIRT6 alleviates apoptosis and enhances cell viability and monoclonal antibody expression in CHO-K1 cells",0,0.000000,"None",0.000000,No
"AF9 targets acetyl-modified STAT6 to diminish purine metabolism and accelerate cell apoptosis during metastasis",0,0.000000,"None",0.000000,No
"Endogenous SIRT6 in platelets negatively regulates platelet activation and thrombosis",0,0.000000,"None",0.000000,No
"IL-38 alleviates atherogenic responses via SIRT6/HO-1 signaling: A promising strategy against obesity-related atherosclerosis",3,1.910931,"chronic inflammation",1.112708,Yes
"Pubertal exposure to Microcystin-LR arrests spermatogonia proliferation by inducing DSB and inhibiting SIRT6 dependent DNA repair in vivo and in vitro",1,1.453437,"genome instability",1.453437,Yes
"SIRT6 regulates protein synthesis and folding through nucleolar remodeling",2,2.738717,"loss of proteostasis",2.238266,Yes
"Multilevel Proteomics Reveals Epigenetic Signatures in BCG-Mediated Macrophage Activation",1,0.916464,"epigenetic alterations",0.916464,Yes
"The effects of aging on muscle loss and tissue-specific levels of NF-&amp;lt;i&amp;gt;κ&amp;lt;/i&amp;gt;B and SIRT6 proteins in rats",1,0.513742,"epigenetic alterations",0.513742,Yes
"SIRT6 keeps pericentromeric transcription in check",0,0.000000,"None",0.000000,No
"Loss of CHIP Expression Perturbs Glucose Homeostasis and Leads to Type II Diabetes through Defects in Microtubule Polymerization and Glucose Transporter Localization",2,0.687697,"deregulated nutrient sensing",0.428808,Yes
"Low Rap1-interacting factor 1 and sirtuin 6 expression predict poor outcome in radiotherapy-treated Hodgkin lymphoma patients",2,3.747374,"epigenetic alterations",2.376440,Yes
"REGULATION OF LIFESPAN BY DSIRT6 IN DROSOPHILA MELANOGASTER",2,4.424725,"epigenetic alterations",3.311135,Yes
"Sirtuins and the prevention of immunosenescence",2,1.009024,"cellular senescence",0.572190,Yes
"Multiomics Interrogation into HBV (Hepatitis B Virus)-Host Interaction Reveals Novel Coding potential in Human Genome, and Identifies Canonical and Non-canonical Proteins as Host Restriction Factors against HBV",1,1.088273,"epigenetic alterations",1.088273,Yes
"A tüszőfolyadék biomarkereinek vizsgálata in vitro fertilizációs kezelésben részesült betegekben",0,0.000000,"None",0.000000,No
"A rare human centenarian variant of SIRT6 enhances genome stability and interaction with Lamin A",2,2.266340,"genome instability",1.568380,Yes
"Sirt3, 6, and 7 Genes Expression in Gastric Antral Epithelial Cells of Patients with Helicobacter pylori Infection",0,0.000000,"None",0.000000,No
"Supplementation with Vitis vinifera Jingzaojing Leaf and Shoot Extract Improves Exercise Endurance in Mice",3,1.967438,"mitochondrial dysfunction",1.130188,Yes
"Cryo-EM structure of the human Sirtuin 6-nucleosome complex",2,1.425008,"epigenetic alterations",1.293960,Yes
"New ε-N-thioglutaryl-lysine derivatives as SIRT5 inhibitors: Chemical synthesis, kinetic and crystallographic studies",0,0.000000,"None",0.000000,No
"Loss of CHIP Expression Perturbs Glucose Homeostasis and Leads to Type II Diabetes Through Defects in Microtubule Polymerization and Glucose Transporter Localization",2,0.700042,"deregulated nutrient sensing",0.433978,Yes
"4-hydroxy-2,2,6,6-tetramethylpiperidine-1-oxyl (Tempol) alleviates lung injury by inhibiting SIRT6-HIF-1α signaling pathway activation through the upregulation of miR-212-5p expression",0,0.000000,"None",0.000000,No
"Serum levels of sirtuin 6 are associated with severe community acquired pneumonia in children: an observational study",1,0.455745,"epigenetic alterations",0.455745,Yes
"Integrated Transcriptomic and Proteomic Study of the Mechanism of Action of the Novel Small-Molecule Positive Allosteric Modulator 1 in Targeting PAC1-R for the Treatment of D-Gal-Induced Aging Mice",0,0.000000,"None",0.000000,No
"Elucidating the Unconventional Binding Mode of a DNA‐Encoded Library Hit Provides a Blueprint for Sirtuin 6 Inhibitor Development",1,0.824719,"epigenetic alterations",0.824719,Yes
"Expression of Sirt1, Sirt2, Sirt5, and Sirt6 in the Mouse Testis",1,2.482271,"epigenetic alterations",2.482271,Yes
